21:48:11 [0][Info] 	- AvatarFlow >> Avatar Core Version: 1.13.1
21:48:12 [1][Notice] 	- GstPipelineHandler >> [User/receiver/data/feedback/user]::Play()
21:48:12 [0][Notice] 	- Services >> Starting Service [RTPReceiver]: User/receiver/video/robot
21:48:12 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - robot-camera
21:48:12 [1][Notice] 	- RTP >> Linked with ports: RobotCamera
	RTP: 10701
	RTCP Send: 9000
	RTCP Recv: 9010
21:48:12 [1][Notice] 	- GstPipelineHandler >> [User/receiver/video/robot]::Play()
21:48:12 [0][Notice] 	- Services >> Starting Service [RTPSender]: User/sender/data/user/user1
21:48:12 [1][Notice] 	- RTP >> Linked with ports: Data
	RTP: 10501
	RTCP Send: 9000
	RTCP Recv: 9010
21:48:12 [1][Notice] 	- GstPipelineHandler >> [User/sender/data/user/user1]::Play()
21:48:13 [1][Debug] 	- Services >> CloudProxyServiceImpl::LaunchServices()  - ARTC Context started 
21:48:13 [1][Debug] 	- Services >> CloudProxyService::SendHello() - StreamSDK_Hello: 214387
21:48:13 [0][Debug] 	- Services >> CloudProxyService::SendHello() - Successfully started.
21:48:15 [0][Notice] 	- Services >> CloudProxyService - Received Session Message[c7e020a2-5392-4da6-8321-888e4004a74e] from peer: 199580
21:48:15 [1][Notice] 	- Services >> CloudProxyService - Joining Subscribers
21:48:15 [1][Debug] 	- Services >> CloudProxyService::JoinSessionSubscriber() - Trying to join session: c7e020a2-5392-4da6-8321-888e4004a74e
21:48:15 [1][Debug] 	- Services >> CloudProxyService::JoinSessionSubscriber() - Adding stream: 199580:130) port: 10601
21:48:15 [1][Debug] 	- Services >> CloudProxyService::JoinSessionSubscriber() - Adding stream: 199580:210) port: 10701
21:48:15 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
21:48:16 [1][Debug] 	- Services >> CloudProxyService::JoinSessionSubscriber() - Successfully joined session.
21:48:16 [1][Notice] 	- Services >> CloudProxyService - Joining Publishers
21:48:16 [1][Info] 	- Services >> CloudProxyService::JoinSessionPublisher() - Trying to join session: c7e020a2-5392-4da6-8321-888e4004a74e
21:48:16 [1][Info] 	- Services >> CloudProxyService::JoinSessionPublisher() - Adding stream: 110) port: 10501/ Reliable: No
21:48:17 [0][Notice] 	- Services >> CloudProxyService - Sending inside message to peer: 199580
21:48:18 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
21:48:18 [1][Info] 	- SharedMemory >> SharedMemoryDataWriter::Open(user-1-data, local) - Starting
21:48:18 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - user-1-data
21:48:21 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
21:48:24 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
21:48:27 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
21:48:30 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
