14:55:44 [0][Info] 	- AvatarFlow >> Avatar Core Version: 1.13.1
14:55:45 [0][Debug] 	- ThreadPool >> Pool [0] Adding a new job: CreatePipelineJob Capture/video/micro
14:55:45 [0][Debug] 	- ThreadPool >> Pool [0] Executing Job: CreatePipelineJob Capture/video/micro
14:55:45 [0][Debug] 	- ThreadPool >> Pool [0] Adding a new job: PlayJob Capture/video/micro
14:55:45 [1][Warning] 	- Devices >> CameraVideoSourceDevice::BuildPipeline() - Couldn't find video source device: \\\\\?\\usb\#vid_046d\&pid_0893\&mi_00\#7\&1c7504db\&0\&0000\#\{e5323777-f976-4f5b-9b55-b94699c46e44\}\\global
14:55:45 [0][Notice] 	- Services >> Starting Service [CloudProxyService]: Robot/cloud
14:55:45 [1][Warning] 	- Python >> Python::CoreAPIWrapper::SubscribeToMessage [avatarin: cloud/status] Already subscribed!
14:55:45 [1][Debug] 	- Services >> CloudProxyService::SendHello() - Adding a request for hello: 199580
14:55:45 [1][Info] 	- AvatarFlowManager >> RequestStartService(Robot/.*)
14:55:45 [1][Info] 	- Services >> Setting resource fetch rate ms: 1
14:55:45 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - micro-camera
14:55:45 [1][Warning] 	- GstPipelineHandler >> [Capture/video/micro]::CreatePipeline() - Pipeline error: could not set property "device-index" in element "avfvideosrc4" to "\\?\usb#vid_046d&pid_0893&mi_00#7&1c7504db&0&0000#{e5323777-f976-4f5b-9b55-b94699c46e44}\global"
14:55:45 [0][Warning] 	- ThreadPool >> Pool [0] Job Finished: "CreatePipelineJob Capture/video/micro"
14:55:45 [0][Debug] 	- ThreadPool >> Pool [0] Executing Job: PlayJob Capture/video/micro
14:55:45 [1][Notice] 	- GstPipelineHandler >> [Capture/video/micro]::Play()
14:55:45 [1][Warning] 	- GstPipelineHandler >> [Capture/video/micro]::_setState(): Pipeline is destroyed, skipping 
14:55:45 [1][Warning] 	- GstPipelineHandler >> [Capture/video/micro]::Failed to start/pause
14:55:45 [0][Warning] 	- ThreadPool >> Pool [0] Job Finished: "PlayJob Capture/video/micro"
14:55:45 [0][Notice] 	- Services >> Starting Service [RTPReceiver]: Robot/receiver/data/user/user1
14:55:45 [1][Info] 	- SharedMemory >> SharedMemoryDataWriter::Open(user-data, remote) - Starting
14:55:45 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - user-data
14:55:45 [1][Notice] 	- RTP >> Linked with ports: Data
	RTP: 10501
	RTCP Send: 9000
	RTCP Recv: 9010
14:55:45 [1][Notice] 	- GstPipelineHandler >> [Robot/receiver/data/user/user1]::Play()
14:55:45 [0][Notice] 	- Services >> Starting Service [RTPSender]: Robot/sender/data/feedback/user
14:55:45 [1][Notice] 	- RTP >> Linked with ports: Data
	RTP: 10601
	RTCP Send: 9000
	RTCP Recv: 9010
14:55:45 [1][Notice] 	- GstPipelineHandler >> [Robot/sender/data/feedback/user]::Play()
14:55:45 [1][Debug] 	- Services >> CloudProxyService - Processing hello request: 199580
14:55:46 [1][Debug] 	- Services >> CloudProxyServiceImpl::LaunchServices()  - ARTC Context started 
14:55:46 [1][Debug] 	- Services >> CloudProxyService::SendHello() - StreamSDK_Hello: 199580
14:55:47 [0][Debug] 	- Services >> CloudProxyService::SendHello() - Successfully started.
14:55:47 [1][Debug] 	- Services >> CloudProxyService::CreateSession() - Creating session with UUID: 822848af-b9e6-4a57-84c7-1e1c62a7e4ca
14:55:47 [0][Notice] 	- Services >> CloudProxyService::CreateSession() - Successfully created session: 822848af-b9e6-4a57-84c7-1e1c62a7e4ca
14:55:47 [1][Info] 	- Services >> CloudProxyService::JoinSessionPublisher() - Trying to join session: 822848af-b9e6-4a57-84c7-1e1c62a7e4ca
14:55:47 [1][Info] 	- Services >> CloudProxyService::JoinSessionPublisher() - Adding stream: 210) port: 10701/ Reliable: No
14:55:47 [1][Info] 	- Services >> CloudProxyService::JoinSessionPublisher() - Adding stream: 130) port: 10601/ Reliable: No
14:55:48 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
14:55:51 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
14:55:54 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
14:55:57 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
14:56:0 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
14:56:4 [1][Warning] 	- VideoAppSrcHandler >> [robot-camera]::Grabbing frame-Skipped 500 times!
